id,university_code,university_name,university_level,branch_name,branch_code,combination_code,amount_student,type_admission,total_score,receive_time,deadline_time,geographic,university_rank
102,C22,Cao đẳng sư phạm Hưng Yên,Cao đẳng,Sư phạm Ngữ văn,51140217,C15,50,Kết quả thi THPT QG,25,2017-08-13,2017-08-31,Hưng Yên,101
103,C22,Cao đẳng sư phạm Hưng Yên,Cao đẳng,Sư phạm Ngữ văn,51140217,C20,50,Kết quả thi THPT QG,25,2017-08-13,2017-08-31,Hưng Yên,101
104,C22,Cao đẳng sư phạm Hưng Yên,Cao đẳng,Sư phạm Ngữ văn,51140217,C19,50,Kết quả thi THPT QG,25,2017-08-13,2017-08-31,Hưng Yên,101
105,C22,Cao đẳng sư phạm Hưng Yên,Cao đẳng,Giáo dục Tiểu học,51140202,D01,27,Kết quả thi THPT QG,10,2017-08-13,2017-08-31,Hưng Yên,101
106,C22,Cao đẳng sư phạm Hưng Yên,Cao đẳng,Giáo dục Tiểu học,51140202,A16,27,Kết quả thi THPT QG,10,2017-08-13,2017-08-31,Hưng Yên,101
107,C22,Cao đẳng sư phạm Hưng Yên,Cao đẳng,Giáo dục Tiểu học,51140202,C15,27,Kết quả thi THPT QG,10,2017-08-13,2017-08-31,Hưng Yên,101
108,C22,Cao đẳng sư phạm Hưng Yên,Cao đẳng,Giáo dục Tiểu học,51140202,A01,27,Kết quả thi THPT QG,10,2017-08-13,2017-08-31,Hưng Yên,101
109,C22,Cao đẳng sư phạm Hưng Yên,Cao đẳng,Sư phạm Tiếng Anh,51140231,D96,0,Kết quả thi THPT QG,25,2017-08-13,2017-08-31,Hưng Yên,101
110,C22,Cao đẳng sư phạm Hưng Yên,Cao đẳng,Sư phạm Tiếng Anh,51140231,D01,0,Kết quả thi THPT QG,25,2017-08-13,2017-08-31,Hưng Yên,101
111,HVC,Học viện cán bộ Thành phố Hồ Chí Minh,Đại học,Quản lý nhà nước,52310205,A00,55,Kết quả thi THPT QG,21,2017-08-13,2017-08-31,Hồ Chí Minh,101
112,HVC,Học viện cán bộ Thành phố Hồ Chí Minh,Đại học,Quản lý nhà nước,52310205,A01,55,Kết quả thi THPT QG,21,2017-08-13,2017-08-31,Hồ Chí Minh,101
113,HVC,Học viện cán bộ Thành phố Hồ Chí Minh,Đại học,Quản lý nhà nước,52310205,C00,55,Kết quả thi THPT QG,21,2017-08-13,2017-08-31,Hồ Chí Minh,101
114,HVC,Học viện cán bộ Thành phố Hồ Chí Minh,Đại học,Quản lý nhà nước,52310205,D01,55,Kết quả thi THPT QG,21,2017-08-13,2017-08-31,Hồ Chí Minh,101
115,HVC,Học viện cán bộ Thành phố Hồ Chí Minh,Đại học,Ngành Luật,52380101,A00,10,Kết quả thi THPT QG,21.75,2017-08-13,2017-08-31,Hồ Chí Minh,101
116,HVC,Học viện cán bộ Thành phố Hồ Chí Minh,Đại học,Ngành Luật,52380101,A01,10,Kết quả thi THPT QG,21.75,2017-08-13,2017-08-31,Hồ Chí Minh,101
117,HVC,Học viện cán bộ Thành phố Hồ Chí Minh,Đại học,Ngành Luật,52380101,D01,10,Kết quả thi THPT QG,21.75,2017-08-13,2017-08-31,Hồ Chí Minh,101
118,HVC,Học viện cán bộ Thành phố Hồ Chí Minh,Đại học,Ngành Luật,52380101,C00,10,Kết quả thi THPT QG,21.75,2017-08-13,2017-08-31,Hồ Chí Minh,101
119,HVC,Học viện cán bộ Thành phố Hồ Chí Minh,Đại học,Xây dựng Đảng và Chính quyền Nhà nước,52310202,C03,25,Kết quả thi THPT QG,17.25,2017-08-13,2017-08-31,Hồ Chí Minh,101
120,HVC,Học viện cán bộ Thành phố Hồ Chí Minh,Đại học,Xây dựng Đảng và Chính quyền Nhà nước,52310202,C04,25,Kết quả thi THPT QG,17.25,2017-08-13,2017-08-31,Hồ Chí Minh,101
121,HVC,Học viện cán bộ Thành phố Hồ Chí Minh,Đại học,Xây dựng Đảng và Chính quyền Nhà nước,52310202,D01,25,Kết quả thi THPT QG,17.25,2017-08-13,2017-08-31,Hồ Chí Minh,101
122,HVC,Học viện cán bộ Thành phố Hồ Chí Minh,Đại học,Xây dựng Đảng và Chính quyền Nhà nước,52310202,C00,25,Kết quả thi THPT QG,17.25,2017-08-13,2017-08-31,Hồ Chí Minh,101
123,HVC,Học viện cán bộ Thành phố Hồ Chí Minh,Đại học,Chính trị học,52310201,C03,60,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-31,Hồ Chí Minh,101
124,HVC,Học viện cán bộ Thành phố Hồ Chí Minh,Đại học,Chính trị học,52310201,C04,60,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-31,Hồ Chí Minh,101
125,HVC,Học viện cán bộ Thành phố Hồ Chí Minh,Đại học,Chính trị học,52310201,D01,60,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-31,Hồ Chí Minh,101
126,HVC,Học viện cán bộ Thành phố Hồ Chí Minh,Đại học,Chính trị học,52310201,C00,60,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-31,Hồ Chí Minh,101
127,HVC,Học viện cán bộ Thành phố Hồ Chí Minh,Đại học,Công tác xã hội,52760101,D14,55,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-31,Hồ Chí Minh,101
128,HVC,Học viện cán bộ Thành phố Hồ Chí Minh,Đại học,Công tác xã hội,52760101,C00,55,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-31,Hồ Chí Minh,101
129,HVC,Học viện cán bộ Thành phố Hồ Chí Minh,Đại học,Công tác xã hội,52760101,D01,55,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-31,Hồ Chí Minh,101
130,HVC,Học viện cán bộ Thành phố Hồ Chí Minh,Đại học,Công tác xã hội,52760101,C14,55,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-31,Hồ Chí Minh,101
131,DHV,Đại học Hùng Vương,Đại học,Công nghệ thông tin,52480201,A00,68,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-18,Hồ Chí Minh,78
132,DHV,Đại học Hùng Vương,Đại học,Công nghệ thông tin,52480201,A02,68,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-18,Hồ Chí Minh,78
133,DHV,Đại học Hùng Vương,Đại học,Công nghệ thông tin,52480201,B00,68,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-18,Hồ Chí Minh,78
134,DHV,Đại học Hùng Vương,Đại học,Công nghệ thông tin,52480201,D08,68,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-18,Hồ Chí Minh,78
135,DHV,Đại học Hùng Vương,Đại học,Công nghệ sau thu hoạch,52540104,A00,70,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-18,Hồ Chí Minh,78
136,DHV,Đại học Hùng Vương,Đại học,Công nghệ sau thu hoạch,52540104,A01,70,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-18,Hồ Chí Minh,78
137,DHV,Đại học Hùng Vương,Đại học,Công nghệ sau thu hoạch,52540104,D01,70,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-18,Hồ Chí Minh,78
138,DHV,Đại học Hùng Vương,Đại học,Công nghệ sau thu hoạch,52540104,D07,70,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-18,Hồ Chí Minh,78
139,DHV,Đại học Hùng Vương,Đại học,Kế toán,52340301,D07,65,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-18,Hồ Chí Minh,78
140,DHV,Đại học Hùng Vương,Đại học,Kế toán,52340301,A00,65,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-18,Hồ Chí Minh,78
141,DHV,Đại học Hùng Vương,Đại học,Kế toán,52340301,D01,65,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-18,Hồ Chí Minh,78
142,DHV,Đại học Hùng Vương,Đại học,Kế toán,52340301,A01,65,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-18,Hồ Chí Minh,78
143,DHV,Đại học Hùng Vương,Đại học,Quản trị kinh doanh,52340101,A02,65,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-18,Hồ Chí Minh,78
144,DHV,Đại học Hùng Vương,Đại học,Quản trị kinh doanh,52340101,B00,65,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-18,Hồ Chí Minh,78
145,DHV,Đại học Hùng Vương,Đại học,Quản trị kinh doanh,52340101,B03,65,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-18,Hồ Chí Minh,78
146,DHV,Đại học Hùng Vương,Đại học,Quản trị kinh doanh,52340101,D08,65,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-18,Hồ Chí Minh,78
